Full Name,Winnings
ANNE HANSEN,530
,32500
,20200
,14120
,11100
,8350
,6350
,5015
,3900
,3180
,2650
,2650
,2200
,2200
,1840
,1840
,1600
,1600
,1390
,1390
,1390
,1200
,1200
,1200
,1050
,1050
,1050
,1050
,920
,920
,920
,920
,800
,800
,800
,800
,800
,800
,800
,800
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
01. Jul,330
02. Jul,330
03. Jul,330
03. Jul,1100
04. Jul,1100
05. Jul,1100
06. Jul,1100
06. Jul,2200
07. Jul,1100
07. Jul,2200
07. Jul,170
YasharK.,1420
,1040
AndreeE.,660
AdrianB.,500
IlianM.,390
HoumanN.,300
VOLKER PUTT,240
ArwinA.,100
MoritzG.,100
EnesA.,1100
PhilipM.,1100
MEGASIGGI,1100
MICHA,1100
JohannB.,1100
MehmetA.,1100
PeterF.,1100
MichaelA.,1100
SvenR.,1100
Philipp ChristophZ.,1100
SönkeL.,1100
MichaelB.,1100
NicoleZ.,50
KARL LUDWIG,50
MALTE,1100
,1100
CARLOS,1100
AndreeE.,1100
WOLFOFPOKER,1100
NikolasM.,1100
RalphV.,1100
ZlatiborD.,1100
FrankN.,1100
ArmanZ.,1100
JoseB.,210
HussainF.,1100
YasinT.,1065
TanerK.,1065
MR. GRANDEMR. GRANDE,1000
JosipK.,660
R.,370
LaurenzO.,290
MOST WANTED,230
HakanP.,110
W.,1100
DraganS.,1100
BRANKO SKOPJE,1100
SON GOKU,1100
EnesA.,1100
MiroslavM.,1100
GHOST DOG,1100
SalmanI.,1100
,1100
LevinV.,1100
OlafM.,210
NadirA.,1680
DennisG.,1210
ValentinoS.,780
FeodorK.,590
FlorianM.,460
AlanS.,360
EnesA.,290
ManuelA.,220
ThomasH.,110
NatanaelD.,1100
MehdiT.,1100
,1100
LenkoK.,1100
JulienM.,1100
RonnyL.,1100
SON GOKU,1100
SCHMIDDL,1100
MarcK.,1100
RAINBÄR,1100
MEGASIGGI,20
W.,1310
S.,1030
BrankoS.,1010
ChristianD.,985
MuharremB.,470
KevinK.,360
JohnE.,290
ThomasM.,230
JulianV.,110
WilhelmA.,3300
MarkH.,2310
BorisM.,2040
StephanS.,1500
AndreasR.,990
EdizA.,770
FaresH.,610
RolandD.,470
RuslanS.,360
NadirA.,1400
GiritharanN.,1010
LutzH.,1010
KILY,550
StephanS.,430
DjahnH.,330
FrankS.,270
NiclasO.,210
AlinP.,110
RalphT.,3190
DetlefE.,2300
LotharM.,1490
SebastianE.,1120
HenningB.,870
AmirP.,680
MichaelaH.,540
DannyB.,420
ThomasS.,220
,9585
,6880
,4470
,3380
,2620
,2030
,1610
,1250
,950
COBRA,4360
SHARKINHO,5350
ONKEL FETTI,2540
PHILIP M,2100
HAUKE K,1700
MÜLLER,1340
NASER N,1020
ATHANASSIOS P,770
REZA Z,570
GREENMAN,470
LEGEND OF SCHENEFELD,470
EDUARD O,410
DONY,410
BRANKO SKOPJE,380
PATRICK H,380
CHARLOTT E,360
,360
THOMAS K,22700
UWE L,14370
HARRY HIRSCH,10390
DICKS DING,8400
DRAGOS B,6650
MANUEL G,5120
BJÖRN P,3810
LENNARD G,2760
MISDURRR,2230
THOMAS S,1400
DRAWBOX,1700
PHILHAVEY,700
NEXO,200
,1100
MALIK B,600
AMIR P,1270
GATO L,800
ALEXANDER B,1160
,2600
ANDREA S,1160
AO S,1040
NADIR K,200
VIKTOR W,2200
AXEL J,920
CLICK CLOCK,700
BE COOL,500
PATRICK H,200
WOLFOFPOKER,400
MARC K,400
ONKEL HENNING,810
HATTA,900
WOLLE,690
NOEL R,200
CHARLOTT E,200
BASTIAN H,400
DENIZ G,690
,200
TOMISLAV M,690
ADVOKAT,690
MURAT O,570
POUL ERIK M,570
ADRIAN B,400
MOHAMMAD Q,570
,700
STEPHAN R,500
YUN HO C,2000
RICKY C,200
MAURICE W,570
THE SPEZIAL ONE,570
KLAUSTOFF,570
QUENTIN W,200
JOERN M,570
HENDRIK R,570
EMMERSON.11,570
HANS JÖRG H,570
AXEL J,600
KEBAP,200
WALID S,200
MURRAL O,1000
,9585
,6880
,4470
,3380
,2620
,2030
,1610
,1250
,950
,22700
,14370
,10390
,8400
,6650
,5120
,3810
,2760
,2230
THOMAS S,1400
DRAWBOX,1700
PHILHAVEY,700
NEXO,200
,1100
MALIK B,600
AMIR P,1270
GATO L,800
ALEXANDER B,1160
,2600
ANDREA S,1160
AO S,1040
NADIR K,200
VIKTOR W,2200
AXEL J,920
CLICK CLOCK,700
BE COOL,500
PATRICK H,200
WOLFOFPOKER,400
MARC K,400
ONKEL HENNING,810
HATTA,900
WOLLE,690
NOEL R,200
CHARLOTT E,200
BASTIAN H,400
DENIZ G,690
,200
TOMISLAV M,690
ADVOKAT,690
MURAT O,570
POUL ERIK M,570
ADRIAN B,400
MOHAMMAD Q,570
,700
STEPHAN R,500
YUN HO C,2000
RICKY C,200
MAURICE W,570
THE SPEZIAL ONE,570
KLAUSTOFF,570
QUENTIN W,200
JOERN M,570
HENDRIK R,570
EMMERSON.11,570
HANS JÖRG H,570
AXEL J,600
KEBAP,200
WALID S,200
MURRAL O,1000
,22700
,14370
,10390
,8400
,6650
,5120
,3810
,2760
,2230
,1850
,1850
,1600
,1600
,1410
,1410
,1270
,1270
,1160
,1160
,1160
,1040
,1040
,1040
,920
,920
,920
,920
,810
,810
,810
,810
,690
,690
,690
,690
,690
,690
,690
,690
,570
,570
,570
,570
,570
,570
,570
,570
,570
,570
,570
,570
,570
,570
,570
,570
01. Jul,330
02. Jul,330
03. Jul,330
03. Jul,1100
04. Jul,1100
05. Jul,1100
06. Jul,1100
06. Jul,2200
07. Jul,1100
07. Jul,2200
07. Jul,170
,3060
BRANKO SKOPJE,3060
AmirP.,1660
RezaR.,1250
HasanK.,970
TRUMPELTIER,750
,600
PhilipM.,460
AlexanderB.,350
ZlatiborD.,3400
,2470
MichaelC.,2470
MarcoS.,1340
OlafM.,1040
MartinR.,810
Cobra,640
Tommy T.G.Tommy T.G.,500
AmirP.,380
RezaR.,250
ChristofG.,1465
EnesA.,1050
PatrickK.,670
JulianV.,510
AlinP.,390
MuratU.,300
DominikF.,240
MehdiJ.,110
N.,110
MÜLLER,2820
DONY,2810
ROMAN D.ROMAN D.,2640
IMAN Z.IMAN Z.,1330
Micha,1030
Michael W.Michael W.,800
Christian H.Christian H.,630
Clemens G.Clemens G.,490
Helga D.Helga D.,370
PhilipM.,1290
EricM.,1195
RomanD.,670
FeodorK.,510
KhosseinK.,390
PhilippH.,300
Megasiggi,240
RenéK.,130
ChristofG.,120
L.,2900
,2790
DennisW.,1540
Rackete,1160
Most Wanted,900
PaulS.,700
AmirP.,560
RomanD.,440
H.,220
Megasiggi,1425
WilhelmA.,1000
GoranM.,1000
FalcoT.,550
G.,420
KonstantinS.,320
JulianV.,260
HeikoS.,130
SvenS.,120
FrankH.,2870
ChristinK.,2135
ThommyO.,2065
RizkallahK.,2015
HeinzB.,1545
SelimK.,800
SvenS.,630
SerhiiK.,490
MichaelE.,370
MarioR.,1425
PhilipM.,1235
MelanderM.,710
Essco,540
MaximillianR.,420
ThorbenH.,320
DennisG.,260
TillH.,110
W.,110
Greenman,2600
F.,2240
Foldfox,2150
MarcelW.,1980
PhilipM.,960
ChristopherB.,750
KahramanS.,600
NorbertS.,470
LorenzR.,220
EduardL.,1620
EsscoE.,1160
W.,750
J.,570
JohannesK.,440
GeorgiiT.,340
JohannesS.,270
MaximilianR.,210
DanielG.,150
RalphT.,2150
Rainbär,2075
Nikolaus,1915
KahramanS.,1790
KonstantinS.,840
,650
Marc OliverT.,520
GuidoL.,220
BodoH.,100
Wilhelm K.Wilhelm K.,1560
Thomas H.Thomas H.,1130
Serhii K.Serhii K.,730
Steffen K.Steffen K.,550
Jens H.Jens H.,430
Bela B.Bela B.,330
Reza R.Reza R.,270
Egbert S.Egbert S.,210
Yunus E.Yunus E.,110
MichaelB.,1986
MalteZ.,1986
J.P.J.P.,1986
FrankH.,1986
MarcoU.,1986
Sonetschko,750
MathiasH.,600
NorbertS.,470
,220
FELIX M,31210
,19500
DONY,13930
ALICO,10720
LEGEND OF SCHENEFELD,8240
LEON,6340
HEIKO P,5080
RACKETE,4240
BRANKO SKOPJE,3530
MICK ACHILLES,3070
WIESBADEN,3070
PHILIPP CHRISTOPH Z,2670
MARTIN W,2670
THOMAS K,2320
NIKLAS B,2320
NERO,2020
ERIK S,2020
NORBERT K,1760
SCHNEEWITTCHEN,1760
SERKAN A,1760
,1530
XATAR,1530
PATRICK  J,1530
BRUNO B,1330
BALKAN,1330
WOLFOFPOKER,1330
RICKY C,1330
TECKI,1150
DRAGAN S,1150
SERGEJ BODROV,1150
MAX B,1150
,1000
ARTASCHES  G,1000
STEPHAN R,1000
OLIVER N,1000
SENSEI HH,1000
ROBERT R,1000
MINNIE MOUSE,1000
LARS K,1000
HEIKO S,870
IGOR K,870
KALKAR,870
ILJA G,870
JACEN,870
,870
MÜLLER,870
JÖRGEN A,435
MARCEL K,435
,31210
,19500
,13930
,10720
,8240
,6340
,5080
,4240
,3530
,3070
,3070
,2670
,2670
,2320
,2320
,2020
,2020
,1760
,1760
,1760
,1530
,1530
,1530
,1330
,1330
,1330
,1330
,1150
,1150
,1150
,1150
,1000
,1000
,1000
,1000
,1000
,1000
,1000
,1000
,870
,870
,870
,870
,870
,870
,870
,870
GEVORG G,10115
LAMI,6580
,4670
KLAUSTOFF,3590
FABIAN D,2770
BLUTO,2120
BRANKO,1640
EROL S,1260
AVALON,980
,10115
,6580
,4670
,3590
,2770
,2120
,1640
,1260
,980
AlinP.,1470
ErcanD.,1060
W.,670
KhosseinK.,510
HelgiM.,400
ThorstenJ.,300
PetroL.,240
StephanS.,100
Mantis,3130
NoelR.,2250
ZlatiborD.,1450
GiuseppeC.,1100
FrankZ.,850
TomaszB.,660
HosseinD.,530
MikeZ.,420
MartinH.,250
W.,1250
LaurenceZ.,1095
FidaH.,1090
BenjaminW.,550
KarstenH.,430
RomanD.,330
SerhiiK.,260
AmirK.,110
NorbertS.,110
LucaB.,1225
AmirK.,1225
D.,1220
MathiasW.,590
NorbertS.,460
LuigiK.,360
W.,290
YasinT.,220
Armin,110
ThomasM.,1500
MarcelM.,1080
AlinP.,690
LeonardE.,520
JacekB.,400
ValeriyB.,310
JohnE.,250
MarcF.,1890
MarcusW.,1820
MarcelW.,1625
ConstantinK.,1565
NorbertS.,1530
HansW.,1380
MikeZ.,1290
JensH.,460
DanielF.,220
AlinP.,1600
AlanS.,1435
EvgenijK.,820
SiroG.,620
FrankW.,480
DragosB.,380
MoritzS.,300
MatzT.,230
RolandD.,120
TillS.,2580
RizkallaK.,2300
